entity,code,year,it_net_user_zs_number
Europe and Central Asia (WB),WB_ECA,2010,507864500.0
Europe and Central Asia (WB),WB_ECA,2011,537591740.0
Europe and Central Asia (WB),WB_ECA,2012,571976260.0
Europe and Central Asia (WB),WB_ECA,2013,594838000.0
Europe and Central Asia (WB),WB_ECA,2014,622552900.0
Europe and Central Asia (WB),WB_ECA,2015,634361000.0
Europe and Central Asia (WB),WB_ECA,2016,659071000.0
Europe and Central Asia (WB),WB_ECA,2017,681722560.0
Europe and Central Asia (WB),WB_ECA,2018,717282700.0
Europe and Central Asia (WB),WB_ECA,2019,740309100.0
Europe and Central Asia (WB),WB_ECA,2020,770332800.0
Europe and Central Asia (WB),WB_ECA,2021,797736500.0
Europe and Central Asia (WB),WB_ECA,2022,812431040.0
Europe and Central Asia (WB),WB_ECA,2023,828625340.0
Europe and Central Asia (WB),WB_ECA,2024,844067400.0
Europe and Central Asia (WB),WB_ECA,2025,861653200.0
Georgia,GEO,1990,0.0
Georgia,GEO,1995,549.6112
Georgia,GEO,1996,1801.1713
Georgia,GEO,1997,2649.097
Georgia,GEO,1998,4370.9155
Georgia,GEO,1999,17293.918
Georgia,GEO,2000,19763.742
Georgia,GEO,2001,39836.406
Georgia,GEO,2002,63173.867
Georgia,GEO,2003,101117.67
Georgia,GEO,2004,152625.12
Georgia,GEO,2005,237250.61
Georgia,GEO,2006,292068.94
Georgia,GEO,2007,318849.06
Georgia,GEO,2008,385229.75
Georgia,GEO,2009,765553.9
Georgia,GEO,2010,1018620.94
Georgia,GEO,2011,1184030.2
Georgia,GEO,2012,1377446.0
Georgia,GEO,2013,1609750.2
Georgia,GEO,2014,1826323.6
Georgia,GEO,2015,1772104.9
Georgia,GEO,2016,2179073.0
Georgia,GEO,2017,2225823.8
Georgia,GEO,2018,2337213.5
Georgia,GEO,2019,2561208.5
Georgia,GEO,2020,2700144.8
Georgia,GEO,2021,2834962.0
Georgia,GEO,2022,2922157.5
Georgia,GEO,2023,3042395.5
Georgia,GEO,2024,3194834.8
Kazakhstan,KAZ,1990,0.0
Kazakhstan,KAZ,1994,88.79804
Kazakhstan,KAZ,1995,1890.5507
Kazakhstan,KAZ,1996,5220.297
Kazakhstan,KAZ,1997,10363.939
Kazakhstan,KAZ,1998,20498.598
Kazakhstan,KAZ,1999,71715.26
Kazakhstan,KAZ,2000,103639.51
Kazakhstan,KAZ,2001,156709.39
Kazakhstan,KAZ,2002,262213.47
Kazakhstan,KAZ,2003,315012.9
Kazakhstan,KAZ,2004,420091.78
Kazakhstan,KAZ,2005,472927.72
Kazakhstan,KAZ,2006,526333.8
Kazakhstan,KAZ,2007,653540.0
Kazakhstan,KAZ,2008,1806917.8
Kazakhstan,KAZ,2009,3024812.2
Kazakhstan,KAZ,2010,5320432.0
Kazakhstan,KAZ,2011,8635397.0
Kazakhstan,KAZ,2012,10713627.0
Kazakhstan,KAZ,2013,11114008.0
Kazakhstan,KAZ,2014,11758749.0
Kazakhstan,KAZ,2015,12809005.0
Kazakhstan,KAZ,2016,13696991.0
Kazakhstan,KAZ,2017,14255065.0
Kazakhstan,KAZ,2018,14938663.0
Kazakhstan,KAZ,2019,15728326.0
Kazakhstan,KAZ,2020,16743437.0
Kazakhstan,KAZ,2021,17951664.0
Kazakhstan,KAZ,2022,18491314.0
Kazakhstan,KAZ,2023,18882288.0
Kazakhstan,KAZ,2024,19231746.0
Kyrgyzstan,KGZ,1990,0.0
Kyrgyzstan,KGZ,1998,3471.843
Kyrgyzstan,KGZ,1999,9922.865
Kyrgyzstan,KGZ,2000,51011.598
Kyrgyzstan,KGZ,2001,148497.64
Kyrgyzstan,KGZ,2002,149684.44
Kyrgyzstan,KGZ,2003,197131.12
Kyrgyzstan,KGZ,2004,259849.56
Kyrgyzstan,KGZ,2005,543822.2
Kyrgyzstan,KGZ,2006,642219.94
Kyrgyzstan,KGZ,2007,739154.4
Kyrgyzstan,KGZ,2008,835040.5
Kyrgyzstan,KGZ,2009,862342.9
Kyrgyzstan,KGZ,2010,891130.56
Kyrgyzstan,KGZ,2011,970652.7
Kyrgyzstan,KGZ,2012,1119111.0
Kyrgyzstan,KGZ,2013,1328744.5
Kyrgyzstan,KGZ,2014,1671355.0
Kyrgyzstan,KGZ,2015,1826929.6
Kyrgyzstan,KGZ,2016,2502629.8
Kyrgyzstan,KGZ,2017,3204135.8
Kyrgyzstan,KGZ,2018,4046881.8
Kyrgyzstan,KGZ,2019,4224325.0
Kyrgyzstan,KGZ,2020,4843149.5
Kyrgyzstan,KGZ,2021,5283506.5
Kyrgyzstan,KGZ,2022,5872696.0
Kyrgyzstan,KGZ,2023,6463925.0
Kyrgyzstan,KGZ,2024,6646184.0
Moldova,MDA,1990,0.0
Moldova,MDA,1994,24.475647
Moldova,MDA,1995,102.180725
Moldova,MDA,1996,136.7544
Moldova,MDA,1997,825.1321
Moldova,MDA,1998,7660.943
Moldova,MDA,1999,17613.04
Moldova,MDA,2000,37519.0
Moldova,MDA,2001,43416.39
Moldova,MDA,2002,110261.23
Moldova,MDA,2003,215055.69
Moldova,MDA,2004,307829.6
Moldova,MDA,2005,422666.3
Moldova,MDA,2006,565264.4
Moldova,MDA,2007,587794.2
Moldova,MDA,2008,671020.0
Moldova,MDA,2009,787933.56
Moldova,MDA,2010,849546.7
Moldova,MDA,2011,917426.1
Moldova,MDA,2012,991102.3
Moldova,MDA,2013,1070618.5
Moldova,MDA,2014,1914736.1
Moldova,MDA,2015,1956825.0
Moldova,MDA,2016,1990262.0
Moldova,MDA,2017,1977319.1
Moldova,MDA,2018,1963870.0
Moldova,MDA,2019,1953571.6
Moldova,MDA,2020,1953113.6
Moldova,MDA,2021,1944754.1
Moldova,MDA,2022,1894442.2
Moldova,MDA,2023,1880285.1
Moldova,MDA,2024,1858635.2
Russia,RUS,1990,0.0
Russia,RUS,1992,999.6621
Russia,RUS,1993,19893.477
Russia,RUS,1994,79843.46
Russia,RUS,1995,219596.16
Russia,RUS,1996,400032.34
Russia,RUS,1997,699639.6
Russia,RUS,1998,1200563.5
Russia,RUS,1999,1501590.6
Russia,RUS,2000,2898557.2
Russia,RUS,2001,4298084.5
Russia,RUS,2002,5998647.0
Russia,RUS,2003,12004187.0
Russia,RUS,2004,18526176.0
Russia,RUS,2005,21853178.0
Russia,RUS,2006,25782266.0
Russia,RUS,2007,35215740.0
Russia,RUS,2008,45677556.0
Russia,RUS,2009,60755170.0
Russia,RUS,2010,69996240.0
Russia,RUS,2011,82950550.0
Russia,RUS,2012,94629780.0
Russia,RUS,2013,97744696.0
Russia,RUS,2014,101712584.0
Russia,RUS,2015,101392040.0
Russia,RUS,2016,105993880.0
Russia,RUS,2017,110434700.0
Russia,RUS,2018,117575780.0
Russia,RUS,2019,120205736.0
Russia,RUS,2020,123450630.0
Russia,RUS,2021,127686680.0
Russia,RUS,2022,130416140.0
Russia,RUS,2023,132672360.0
Russia,RUS,2024,135573800.0
Tajikistan,TJK,1990,0.0
Tajikistan,TJK,1999,2036.3453
Tajikistan,TJK,2000,3054.3557
Tajikistan,TJK,2001,3284.366
Tajikistan,TJK,2002,3622.6482
Tajikistan,TJK,2003,4300.3594
Tajikistan,TJK,2004,5261.3096
Tajikistan,TJK,2005,20683.447
Tajikistan,TJK,2006,266240.06
Tajikistan,TJK,2007,517831.06
Tajikistan,TJK,2008,644311.75
Tajikistan,TJK,2009,754266.1
Tajikistan,TJK,2010,883822.3
Tajikistan,TJK,2011,1019569.5
Tajikistan,TJK,2012,1162843.6
Tajikistan,TJK,2013,1314675.8
Tajikistan,TJK,2014,1473629.0
Tajikistan,TJK,2015,1640600.8
Tajikistan,TJK,2016,1814794.6
Tajikistan,TJK,2017,1995273.6
Tajikistan,TJK,2018,3034190.2
Tajikistan,TJK,2019,2161996.8
Tajikistan,TJK,2020,2685359.5
Tajikistan,TJK,2021,3658413.5
Tajikistan,TJK,2022,4980562.5
Tajikistan,TJK,2023,5653661.0
Tajikistan,TJK,2024,5909038.0
Turkmenistan,TKM,1990,0.0
Turkmenistan,TKM,1999,2021.4766
Turkmenistan,TKM,2000,6107.8916
Turkmenistan,TKM,2001,8191.7617
Turkmenistan,TKM,2002,14410.08
Turkmenistan,TKM,2003,20680.31
Turkmenistan,TKM,2004,37386.7
Turkmenistan,TKM,2005,50386.164
Turkmenistan,TKM,2006,67919.82
Turkmenistan,TKM,2007,73750.2
Turkmenistan,TKM,2008,93538.01
Turkmenistan,TKM,2009,106306.05
Turkmenistan,TKM,2010,166930.67
Turkmenistan,TKM,2011,284170.84
Turkmenistan,TKM,2012,417971.34
Turkmenistan,TKM,2013,570176.75
Turkmenistan,TKM,2014,741184.56
Turkmenistan,TKM,2015,932166.56
Turkmenistan,TKM,2016,1144190.4
Ukraine,UKR,1990,0.0
Ukraine,UKR,1993,406.76047
Ukraine,UKR,1994,7082.336
Ukraine,UKR,1995,22267.848
Ukraine,UKR,1996,50508.945
Ukraine,UKR,1997,101065.9
Ukraine,UKR,1998,151643.0
Ukraine,UKR,1999,202404.61
Ukraine,UKR,2000,354916.78
Ukraine,UKR,2001,608315.8
Ukraine,UKR,2002,912156.3
Ukraine,UKR,2003,1521022.2
Ukraine,UKR,2004,1674234.2
Ukraine,UKR,2005,1784363.2
Ukraine,UKR,2006,2130436.8
Ukraine,UKR,2007,3082613.2
Ukraine,UKR,2008,5150109.0
Ukraine,UKR,2009,8345647.5
Ukraine,UKR,2010,10824248.0
Ukraine,UKR,2011,13294181.0
Ukraine,UKR,2012,16298287.0
Ukraine,UKR,2013,18890816.0
Ukraine,UKR,2014,21255780.0
Ukraine,UKR,2015,22381782.0
Ukraine,UKR,2016,24177362.0
Ukraine,UKR,2017,26757048.0
Ukraine,UKR,2018,28279598.0
Ukraine,UKR,2019,31526348.0
Ukraine,UKR,2020,33526948.0
Ukraine,UKR,2021,35092628.0
Ukraine,UKR,2022,33033706.0
Ukraine,UKR,2023,30782672.0
Ukraine,UKR,2024,31225180.0
Uzbekistan,UZB,1990,0.0
Uzbekistan,UZB,1995,350.6391
Uzbekistan,UZB,1996,1001.8
Uzbekistan,UZB,1997,2494.6907
Uzbekistan,UZB,1998,5020.065
Uzbekistan,UZB,1999,7514.135
Uzbekistan,UZB,2000,120055.43
Uzbekistan,UZB,2001,149931.5
Uzbekistan,UZB,2002,274812.47
Uzbekistan,UZB,2003,491752.28
Uzbekistan,UZB,2004,675129.9
Uzbekistan,UZB,2005,881248.06
Uzbekistan,UZB,2006,1705620.8
Uzbekistan,UZB,2007,2028156.9
Uzbekistan,UZB,2008,2496557.0
Uzbekistan,UZB,2009,3324780.0
Uzbekistan,UZB,2010,4513295.5
Uzbekistan,UZB,2011,5361114.5
Uzbekistan,UZB,2012,6905809.0
Uzbekistan,UZB,2013,7966049.5
Uzbekistan,UZB,2014,10729163.0
Uzbekistan,UZB,2015,13160720.0
Uzbekistan,UZB,2016,14638457.0
Uzbekistan,UZB,2017,15495938.0
Uzbekistan,UZB,2018,17870166.0
Uzbekistan,UZB,2019,23207150.0
Uzbekistan,UZB,2020,23879910.0
Uzbekistan,UZB,2021,26227394.0
Uzbekistan,UZB,2022,29313782.0
Uzbekistan,UZB,2023,31735406.0
Uzbekistan,UZB,2024,32545864.0
World,OWID_WRL,2005,1025764000.0
World,OWID_WRL,2006,1145440300.0
World,OWID_WRL,2007,1362298000.0
World,OWID_WRL,2008,1557258400.0
World,OWID_WRL,2009,1749790500.0
World,OWID_WRL,2010,1988244400.0
World,OWID_WRL,2011,2189791500.0
World,OWID_WRL,2012,2389768700.0
World,OWID_WRL,2013,2564688000.0
World,OWID_WRL,2014,2750221000.0
World,OWID_WRL,2015,2968993000.0
World,OWID_WRL,2016,3282304500.0
World,OWID_WRL,2017,3525184300.0
World,OWID_WRL,2018,3801903000.0
World,OWID_WRL,2019,4191891000.0
World,OWID_WRL,2020,4720172000.0
World,OWID_WRL,2021,5052684300.0
World,OWID_WRL,2022,5352328700.0
World,OWID_WRL,2023,5579542500.0
World,OWID_WRL,2024,5796318700.0
World,OWID_WRL,2025,6046552600.0
